Videojuego_Id,Categoria_Edad_Id
173141,11
173141,4
188105,8
195486,1
195486,8
10267,10
19618,10
19618,3
19618,14
119068,3
119068,11
49524,8
41581,10
202990,10
151597,9
151597,3
199810,1
199810,8
118390,10
118390,3
14774,11
199175,1
199175,8
180990,10
180990,4
180990,24
203704,1
203704,8
7231,11
186999,3
186999,9
263494,8
178790,8
178790,2
178790,23
196824,4
162857,11
162857,16
162857,25
187316,1
192349,4
192349,11
27283,3
27283,11
122351,11
122351,4
8641,8
8641,3
10583,9
122191,10
228022,10
228022,15
141326,10
141326,3
141326,13
141326,24
141326,35
141326,29
141326,19
201756,9
6040,10
243,8
198073,8
198073,1
186950,10
186950,4
146022,9
146022,3
67041,1
11294,10
170022,13
87686,4
87686,11
23040,1
3165,10
7557,8
28040,23
192041,8
192041,1
192041,24
567,8
6567,8
191350,8
191350,1
191350,23
202161,8
136146,11
201086,1
206022,11
206022,4
144026,25
144026,28
144026,9
144026,2
144026,19
8567,8
8567,1
8567,34
126173,11
126173,5
126173,21
201084,2
81,10
81,3
129757,1
129757,8
129757,18
6677,8
221332,1
221332,8
221332,23
138220,10
138220,3
67254,8
158468,8
239022,35
239022,29
239022,10
239022,25
239022,1
239022,20
22567,10
152920,8
78040,8
204283,5
204283,10
200969,1
200969,8
89384,8
89384,1
89384,23
89384,28
89384,19
89384,34
6463,8
199893,11
199893,4
5103,8
217587,8
2928,8
2928,1
215791,8
140730,8
140730,1
252631,10
252631,15
164982,8
164982,1
164982,23
46597,8
134025,8
134025,2
189272,8
189272,2
223756,1
50957,8
207900,4
239612,10
187759,10
99539,8
146040,9
146040,2
214,3
214,10
105366,8
105366,1
211319,10
211319,3
211315,8
211315,1
198261,8
198261,13
198261,23
198261,1
198261,18
149628,34
149628,28
149628,8
149628,23
149628,1
149628,19
29927,9
243900,8
27407,4
27407,11
133834,9
133834,13
77772,9
77772,2
77772,14
24148,11
208462,8
208462,2
202167,10
8132,8
240452,13
240452,1
204931,8
204931,23
103270,8
103270,1
201560,1
201560,8
198011,3
198011,9
224260,8
231779,8
51040,8
52160,8
164807,10
164807,13
9161,8
264560,1
218468,25
164810,9
164810,35
