Videojuego_Id,Empresa_Id
121973,229697
2563,6116
2563,6117
2563,6118
2563,6119
85450,85230
89616,154613
107423,69716
107423,133589
107423,133590
119025,229692
119025,229693
230654,199895
33515,71648
99620,77163
99620,77164
236664,203290
200398,170400
85137,60879
2545,168786
2545,168787
156920,170446
29049,66998
17097,135070
118128,93086
118128,93087
12930,56149
12930,56150
35429,66310
35429,66311
130753,217702
130753,217703
59737,70528
209901,179366
251576,217922
135556,103181
135556,103182
64556,126021
91555,120745
13666,27176
210243,179713
210243,179714
93545,96027
93545,96028
96545,117862
96545,117863
104254,66039
52235,159417
52235,159474
109082,142511
137232,219838
137232,219839
245072,214578
111545,94885
206978,177519
112556,164904
135082,126506
15201,29221
15201,29222
114228,74795
114556,87931
143611,165812
143611,165826
143611,171736
69347,107111
69347,107112
206977,177517
206977,177518
206969,177507
5414,13128
5414,222936
210066,179522
161242,201000
161242,201001
165521,146778
119066,196218
119066,196219
5545,13429
182463,158848
20244,60743
132066,183546
254251,220209
202439,176717
154228,140782
10355,96857
10355,96858
114663,73768
114697,73833
250485,216509
250485,216510
3933,10194
3933,10195
10142,26628
69016,229685
69016,229686
69016,229687
240174,207946
207751,207272
254326,220344
33152,49083
119271,79700
136840,110401
136840,110402
252535,218734
222984,192435
231545,200438
195066,183350
195066,183351
186228,161688
186228,171674
53365,165664
53365,165665
46365,153803
46365,153804
46365,153819
46365,153820
254545,220679
55508,66823
55508,66824
116556,76182
132598,97705
251294,217654
133854,217812
101309,64825
193293,175319
193293,175320
12043,42085
12043,42086
12043,42087
12043,42088
143990,119914
92950,67093
92950,67094
160922,194466
252539,218747
137214,119610
240078,205699
66590,92273
194933,224168
194933,224169
137545,116792
142590,117291
144545,121300
195214,166930
252538,218740
651,40970
651,56594
651,56596
651,57401
651,57402
209498,178872
114694,73829
43244,173241
23933,39442
198997,169858
35432,220348
7571,44576
7571,163344
46244,98059
46244,98060
146545,127387
214798,184973
214798,184974
8663,21349
8663,180018
140365,111289
140365,111290
140365,111291
84590,60655
53816,96348
53816,96349
30153,220347
92222,153708
92222,153709
144365,120767
99118,69276
99118,69277
99118,79542
89683,70607
89683,70608
230214,198631
219095,189354
140373,111330
172469,203046
172469,203047
127205,178840
127205,178841
203398,173598
203398,173599
254365,220422
254365,220423
171912,165147
171912,165148
171912,165149
91905,92873
91905,92874
157428,176834
143800,119653
252545,218776
229621,197708
27773,48852
210956,201867
230621,199217
230621,199218
24653,110139
24653,110140
49830,230244
49830,230245
114696,73832
217998,187633
217998,187634
114695,73831
218000,187636
218000,187637
186590,162438
41214,54728
265060,230273
265060,230274
17806,32757
116199,75578
116199,75579
265057,230265
176828,197870
26618,43158
44888,215199
44888,230267
8979,22028
8979,22029
146753,129036
165173,146925
165173,146926
165173,146927
129010,158406
134833,230271
134833,230272
137235,219573
265059,230266
142244,116401
86480,65976
210948,214268
210948,214269
71643,171053
89738,114378
168244,214567
65014,189920
65014,189921
6535,15524
6535,156493
6535,156494
54783,60552
217670,187171
198670,169501
116276,107595
93952,220784
115315,128757
101190,177146
230590,199153
38535,105827
38535,105828
38535,105829
153244,216005
27762,45343
148133,135458
148133,135459
148133,135460
175818,152312
252578,218797
12379,26272
104231,66477
213124,182380
1072,2540
1072,95409
1072,225362
137893,112800
188108,162736
145335,123713
145335,133019
60535,167342
60535,194370
102865,90437
13011,53194
13011,53195
13011,91561
102176,91289
252542,218752
14379,27925
135853,104126
130541,200808
128566,90666
128556,90653
27379,203816
27379,203817
27379,203818
27379,203819
27379,203820
27379,203821
56219,127902
233589,201515
252546,218783
252546,218784
16621,31002
45379,56261
45379,56262
252541,218749
134330,221272
134330,221273
57930,229359
148400,135845
117824,80151
218231,187927
10404,47281
92535,174350
92535,174351
63535,143739
63535,143740
63535,143741
47379,188019
32536,58709
30566,48253
113351,72096
113351,72097
11415,24861
112535,209356
25153,41002
162070,153781
162070,153782
204500,174817
204500,210795
204500,212045
134535,101443
134535,101444
134535,101445
134535,101446
134535,101447
134535,101448
57651,90656
139602,128045
139602,131654
139602,131656
14631,28345
199434,170117
5412,161241
5412,161242
5412,161243
5412,161244
12412,26295
131597,93860
230476,205958
237244,216457
35326,49890
251584,217948
103004,183889
134153,99835
134153,99836
15934,230276
62243,96147
209905,179372
12091,55205
12204,25946
175770,152196
175770,152197
191663,164391
191663,230275
129028,158538
129028,158539
230181,198595
230180,198594
22412,41137
85454,180226
85454,180227
3741,47600
46206,139251
46206,139252
46206,139253
176236,172289
8737,182284
8737,182285
8737,225223
16338,30603
234535,202501
6471,182275
6471,182276
6471,182277
6471,182278
14854,194551
14854,194552
14854,194553
113407,131325
185336,158629
185336,158635
150084,136695
150084,136696
1535,182643
1535,182644
1535,182645
178766,198559
178766,198560
149688,205293
149688,205294
149688,205295
535,3442
535,3443
10979,207749
114209,76539
18759,34668
147788,134367
199242,215873
209500,178874
209500,178875
155399,141484
155399,141485
6802,55517
6802,55518
6802,230161
6802,230163
6802,230166
6802,230168
6802,230171
6802,230172
6802,230175
6802,230176
35139,207361
209497,178871
209904,179369
198851,169700
243191,209104
243191,209105
66379,85238
161322,192055
5435,13179
72379,88238
72379,95256
13109,26691
13109,26692
13109,26693
13109,26694
23045,49003
29166,67009
75073,65103
233975,201828
75379,57079
6815,146003
6815,146004
113295,88843
113295,88844
134444,100917
243192,209108
243195,209116
243195,209117
132299,157799
132299,216254
119635,89355
251228,217561
251228,226610
9978,213676
31846,48517
100547,64549
100547,64550
6812,145999
6812,146001
6812,146002
169360,164018
195152,196855
148302,135724
109403,72747
240975,206817
240981,206834
139412,109849
82379,62275
128334,143336
128334,225084
78639,150410
265072,230295
19289,35462
19289,203902
19289,203903
18535,34205
39924,59406
147335,132522
147335,168135
213599,183374
123902,166083
123902,166084
192384,165607
69653,159906
69653,159907
135818,201876
79883,79809
79883,79810
227587,195076
240535,206498
119379,92158
22634,45047
22634,45048
191412,163632
191412,163645
222556,191597
222556,191598
222556,191599
16538,126770
16538,126771
170535,148893
47657,199008
47657,199009
135412,102828
241922,207566
54367,77604
172708,151070
172708,151071
245535,210460
90509,63331
4860,37208
4860,50714
138388,110055
138388,110056
113901,81989
248535,214221
248535,214222
23245,97086
248599,213215
36737,49782
36737,49783
210412,180096
132618,111999
132618,112000
13329,50788
13329,50789
125379,87123
130379,122680
34145,49350
34145,90191
140481,111570
265074,230298
240502,206415
252598,230264
68484,109821
265073,230297
150028,136466
150028,138358
8351,59634
27912,45426
27912,45427
27912,45428
200556,170574
226412,194401
226412,194402
226412,194403
23667,86760
150905,207366
28466,46558
2818,6800
2818,6801
2818,6802
248556,213105
248556,213106
222412,191504
222412,191505
23931,57431
142508,117089
209911,179378
247392,212105
247392,212106
247392,212107
68490,71151
190810,178316
65616,229872
65616,229873
222944,202325
229412,197292
21048,121842
21048,121843
247401,212118
139379,109766
157572,168891
111243,71674
239174,204847
58170,227041
58170,227042
142379,116772
114698,73834
169475,216960
146379,127010
146379,127011
198604,169364
75229,56688
135449,102842
135449,102843
135449,132150
148379,135805
209910,179377
177379,153949
64012,84474
64012,84475
178379,155089
209909,179376
139835,167960
139835,167961
198621,169429
153616,140220
47466,114634
47466,114635
147048,130941
123412,85615
212556,181602
96894,86620
144330,120665
144330,120666
233669,230282
41265,106366
41265,106367
105410,66580
105410,204172
182466,157485
182466,157486
186466,160873
19495,36026
190466,163282
57818,179346
57818,179347
229466,197408
236329,208976
12192,36153
12192,36155
12192,53599
12192,53600
12192,53601
12192,53602
12192,53603
12192,53604
12192,53605
12192,53606
34410,108802
132546,103642
132546,103643
107599,131058
15376,48997
105418,68852
105418,68853
105418,128671
70818,139893
194731,166157
194731,166158
153599,225490
153599,225646
153599,230281
266737,231350
266737,231351
114642,73737
143637,119386
143637,170324
251330,217715
256466,222618
249265,214244
44027,61858
44027,125976
114701,73840
203818,174083
203818,174084
9352,22691
20860,133010
20860,133011
234818,202754
44423,103402
44423,103403
21338,94812
21338,94813
212265,181571
201818,173163
201818,173164
201818,173165
201818,173166
243265,209304
243265,209305
168676,148273
266733,231341
266733,231342
141945,115403
24860,40525
24860,40526
195026,166754
198295,168651
107169,68796
131988,95105
53209,66666
43498,187357
266738,231352
266738,231353
198597,169355
1546,36842
1546,36844
1546,36845
1546,36846
1546,94521
23402,72170
259316,224370
259316,224371
16085,30212
39338,214202
139690,110263
139690,110264
17385,38453
214986,191329
250898,216917
250898,216918
2546,174055
2546,174056
103637,119286
227342,201638
227342,201639
5546,13430
221265,221312
12546,27292
12546,111884
209915,179382
191568,164001
59360,95919
59360,95920
42235,161148
42235,161149
72696,167875
256291,222401
256291,222402
117186,91705
119201,79552
119201,79553
146644,127645
146644,127646
66762,78130
81431,217168
13546,27101
81294,59933
81294,59934
81294,96385
115386,104437
18546,34222
18546,34223
18546,34224
40822,189892
40822,189893
186773,161635
7559,17824
7559,227147
20546,98094
128757,90983
111279,108535
59860,54153
230158,198571
1178,2871
1178,2872
1178,2873
1178,2874
148360,135775
27326,119059
27326,138624
182699,188337
104060,133043
104060,133044
104060,134143
39546,151036
39546,151037
39546,151038
39546,151039
39546,151040
39546,151041
19347,97345
19347,97346
145384,123318
145384,123319
145384,123320
145384,177950
41546,207080
78044,71739
78044,71740
92692,197567
