Videojuego_Id,Genero_Id
121973,13
121973,32
2563,4
266823,2
266823,31
89616,9
89616,33
246925,31
246925,32
263822,31
263822,32
107423,13
107423,15
107423,32
119025,13
197418,10
197418,13
197418,32
202243,31
71632,15
160939,32
199243,31
203546,31
203546,32
33515,8
33515,24
33515,32
33515,33
99620,31
236664,12
236664,13
200398,14
211577,12
211577,32
2545,4
156920,12
156920,31
156920,32
230918,14
230918,15
171563,31
171563,32
196161,9
196161,15
196161,26
196161,31
196161,32
29049,13
29049,14
29049,32
230919,14
230919,15
108528,15
88545,9
88545,15
17097,4
17097,32
17097,33
118128,12
118128,15
118128,31
118128,32
12930,5
35429,13
35429,31
35429,32
266757,31
266757,32
232243,10
232243,14
130753,8
130753,9
130753,33
59737,5
59737,32
59737,33
190243,15
190243,32
251576,14
251576,32
135556,8
77810,5
171309,32
64556,9
64556,15
13666,15
13666,32
197231,9
266753,31
266753,32
4365,8
190278,13
190278,15
210243,8
93545,5
93545,33
160532,32
96545,11
96545,13
96545,15
266750,31
195243,32
192243,31
192243,32
126369,31
126369,32
216788,12
216788,31
216788,32
207310,31
207310,32
211415,12
211415,31
211415,32
109082,8
137232,9
137232,32
245072,8
111545,32
111545,33
172127,31
172127,32
24365,9
55648,12
55648,31
55648,32
183321,31
112556,34
135082,35
71213,13
71213,15
87465,12
15201,7
13272,10
114228,13
114228,15
114228,32
114556,13
114556,14
114556,31
114556,32
143611,5
143611,15
143611,36
266755,12
266755,31
266755,32
266754,12
266754,32
189080,31
189080,32
168973,32
69347,31
69347,34
251585,9
266752,13
5414,5
5414,10
2667,10
2667,13
180082,31
180082,32
180082,34
161242,13
161242,31
161242,32
165521,31
119066,5
119066,24
5545,13
182463,11
182463,12
182463,15
182463,16
182463,24
182463,31
182463,32
164892,32
20244,14
132066,2
132066,31
118536,14
254251,32
58376,9
58376,15
58376,33
202439,13
190090,13
190090,15
190090,32
129381,31
129381,32
69636,10
154228,7
187455,10
187455,13
187455,14
187455,33
126385,13
126385,15
126385,32
10355,13
10355,15
10355,32
32011,32
114697,14
114697,33
250485,31
250485,34
3933,14
10142,9
10142,31
10142,32
10142,34
69016,15
69016,31
240174,32
191933,33
244563,31
244563,32
207751,32
207751,35
116946,9
116946,31
116946,32
254326,8
254326,31
254326,33
250600,12
250600,31
250600,32
119271,13
119271,32
136840,7
136840,13
136840,34
252535,5
155774,32
222984,9
222984,31
222984,32
231545,9
200409,31
200409,32
186228,10
186228,14
53365,10
53365,13
53365,14
53365,15
46365,10
46365,33
201066,11
201066,12
201066,16
201066,31
254545,9
176216,10
55508,12
55508,31
55508,32
29244,31
29244,32
208066,13
148842,13
148842,15
148842,31
148842,32
235759,31
235759,32
235759,33
132598,15
132598,24
132598,32
163610,32
251294,8
133854,9
133854,32
101309,12
101309,31
173322,32
193293,5
193293,13
193293,31
12043,2
12043,9
12043,31
143990,34
92950,11
92950,15
217281,13
210842,31
210842,32
160922,32
161343,12
161343,13
161343,15
161343,31
161343,32
252539,32
201939,12
160440,32
203172,33
253184,7
253184,33
44244,31
44244,32
63590,26
137214,2
137214,9
137214,13
137214,31
137214,32
209616,35
240078,32
66590,5
194933,8
194933,9
194933,31
137545,14
137545,32
142590,9
182643,5
182643,9
144545,5
63473,15
195214,9
195214,24
252538,32
651,31
71144,13
71144,15
193161,31
193161,32
145545,5
145545,25
145545,32
160969,32
43244,14
23933,5
23933,33
208214,12
184581,9
184581,16
184581,24
35432,15
29057,31
29057,32
7571,9
7571,13
46244,14
146545,5
237254,13
237254,31
237254,32
214798,31
214798,34
8663,9
8663,12
8663,15
140365,10
118080,31
118080,32
188895,13
188895,15
188895,31
188895,32
53816,15
30153,9
260313,31
260313,32
21200,5
161278,13
161278,15
161278,32
144365,9
99118,12
89683,13
160152,13
160152,31
236378,31
236378,32
230214,9
160971,32
219095,8
219095,31
219095,32
170805,32
200935,31
140373,25
140373,31
140373,32
184446,31
172469,13
172469,14
172469,25
172469,32
172469,33
163975,13
163975,15
163975,32
160420,32
263153,12
263153,15
159954,13
127205,9
