language,game,language_support_type
7,113494,1
7,220101,3
7,76477,2
1,24816,3
22,112929,3
16,32125,2
7,74129,2
16,114122,3
1,114312,2
5,29372,3
7,29403,2
23,23225,2
16,15531,1
9,31076,3
7,119192,2
16,107329,3
12,118060,3
1,14746,3
16,91024,3
3,134583,2
17,33160,3
22,124962,3
20,121617,3
7,23294,3
7,33705,2
23,88035,2
12,25812,3
7,8865,3
7,32282,3
7,11205,1
7,9772,3
20,36086,1
7,113755,3
9,142877,1
7,110999,3
9,148049,3
22,10872,3
7,223307,2
21,152354,3
21,152354,1
15,50510,1
7,8115,1
7,149900,1
7,149900,3
5,24816,3
4,24816,3
1,24816,1
7,147340,3
22,112929,2
22,76477,3
2,112929,2
22,112929,1
21,32125,2
17,32125,2
17,32125,3
7,43075,1
3,114122,3
2,118071,3
7,34111,3
2,114122,3
7,123809,2
7,123809,3
15,19449,3
12,19449,3
4,114312,1
21,152354,2
21,29372,1
7,19449,2
5,29372,2
7,31899,1
7,8115,3
5,29372,1
7,51562,2
7,51562,3
7,32734,2
22,76477,2
7,27116,2
16,15531,2
7,32734,3
18,107329,1
2,112929,3
7,27116,3
4,24816,1
24,119013,3
21,32125,3
1,118060,3
16,107329,2
9,31076,2
7,30478,3
7,67899,3
15,118060,3
7,34544,1
2,124962,3
7,128999,3
7,31899,3
27,33705,2
7,9940,3
12,11205,2
23,36086,1
7,33726,1
12,33705,3
16,9772,3
22,75315,2
7,31580,3
4,114312,2
21,124962,3
16,91024,2
12,19449,2
7,32252,3
1,14746,2
7,75315,2
20,121617,2
21,14746,3
21,29372,3
7,75315,3
7,32734,1
21,25812,3
12,33705,2
17,33160,2
24,119013,1
18,107329,3
12,11205,3
22,33726,3
24,88035,3
9,25812,3
27,50510,2
24,88035,2
22,36086,1
21,14746,2
21,121617,2
12,25812,2
9,118060,3
22,124962,2
7,27116,1
7,55288,3
2,76711,1
27,9772,3
22,75315,3
7,33726,3
16,142877,2
7,11205,2
27,50510,3
7,68665,3
16,142877,3
21,36086,1
2,76711,3
7,34544,3
2,124962,2
16,148049,3
16,68658,3
5,148049,3
12,9772,3
27,33705,3
7,223309,3
15,50510,2
19,10872,3
9,25812,2
21,223307,2
9,142877,2
7,33726,2
7,76711,3
12,11205,1
4,68658,3
4,148049,3
2,36086,1
15,9772,3
21,223307,3
27,50510,1
6,148049,3
16,142877,1
7,113767,3
23,68658,3
7,223310,3
7,152354,1
7,8115,2
7,147340,2
28,112929,3
22,32125,3
5,24816,1
7,43075,2
7,34111,1
16,84157,3
7,152354,2
5,114312,1
27,8115,2
12,8115,3
15,19449,2
6,24816,3
21,29372,2
27,8115,3
7,31899,2
12,147340,3
7,102224,3
11,24816,1
11,24816,3
15,147340,2
27,27116,3
24,119013,2
28,112929,1
15,147340,3
7,19055,3
22,32125,2
18,107329,2
4,118060,3
7,106155,3
16,91184,3
3,32125,3
22,14746,2
27,19449,3
23,29372,3
12,8115,2
7,89409,3
7,103838,3
12,147340,2
23,29372,2
7,102224,1
19,107329,3
28,112929,2
7,104261,3
9,107329,3
7,55237,3
19,107329,2
5,114312,2
7,29937,3
7,75847,3
11,118060,3
7,102224,2
7,10528,3
7,114057,3
2,32125,2
7,7849,3
7,152354,3
9,19449,2
7,128272,3
9,19449,3
7,84084,3
27,27116,1
7,33828,3
9,33705,3
5,118060,3
21,25812,2
2,32125,3
7,107972,3
2,14746,3
7,26909,3
12,27116,2
7,106155,2
12,27116,3
27,11205,3
7,114057,1
7,90817,2
7,114083,3
12,55329,3
16,123809,1
7,128045,3
12,114057,3
7,55329,3
7,114057,2
7,120462,3
6,114312,2
7,31580,1
6,114312,1
6,24816,1
7,104261,2
21,124962,2
7,107972,1
28,119013,1
27,19449,2
25,36086,1
9,9772,3
3,14746,2
7,102283,3
23,29372,1
3,14746,3
7,89409,2
7,57128,3
22,50510,3
12,120462,3
7,7849,2
7,90817,1
28,119013,3
20,142877,3
2,76711,2
7,103838,1
7,30652,3
9,120462,3
7,140806,3
18,148049,3
7,31685,3
