language,game,language_support_type
9,219992,3
27,219992,2
7,219879,2
27,17961,3
7,190594,2
7,189363,3
7,162547,3
16,219992,2
16,219992,3
7,217251,3
2,219992,3
7,217251,1
16,164859,2
16,164859,3
7,160636,1
20,129984,3
27,151500,2
7,219879,3
20,129984,2
2,164859,3
12,137729,3
7,164859,3
22,10342,1
17,137729,3
2,164859,2
16,137729,3
22,10342,2
12,151500,3
12,157978,3
7,151500,2
27,10342,1
27,201528,3
7,10768,2
7,148318,3
7,157597,3
7,106825,2
9,6879,2
7,148318,1
7,148318,2
7,157597,2
27,6879,2
7,201528,1
24,30193,3
3,122179,3
7,106825,3
19,68995,3
7,201528,2
16,213499,3
12,213499,2
24,213499,2
7,134751,1
7,162962,3
3,213499,3
7,132022,3
15,170937,2
3,213499,2
7,217004,3
7,217004,2
22,125687,2
12,167732,3
27,167732,1
2,156626,2
21,170937,3
7,129981,3
7,30193,1
9,201528,2
7,196900,3
24,190810,3
7,6879,1
27,167732,3
7,147427,1
7,150724,1
22,104164,3
7,122179,3
22,213499,2
21,213499,2
9,210704,3
15,166019,3
7,125687,2
24,190810,2
7,199733,3
7,221372,3
21,104164,3
7,147427,3
2,213499,3
22,123828,3
2,122179,3
27,166019,3
7,28670,1
17,199733,3
27,162318,3
12,170937,2
7,199666,1
27,213499,2
9,30193,2
27,170937,2
7,129574,3
9,213499,3
9,170937,2
7,170937,2
7,190810,1
27,30193,3
24,30193,2
7,113799,2
26,30193,2
19,30193,3
17,125687,2
16,30193,2
22,30193,3
7,162962,2
7,111350,3
12,6879,2
7,104164,3
17,199733,2
2,111350,3
27,201528,2
7,148671,2
15,201528,2
12,210704,3
9,170937,3
7,190810,3
7,136988,3
7,6879,2
9,154875,3
7,17580,1
18,204828,3
22,2358,3
17,155437,3
7,163774,2
7,161246,3
7,156522,3
12,17837,1
7,149712,3
22,37024,2
21,148417,3
9,68995,2
9,68995,3
9,30193,3
16,122179,2
7,150724,3
15,170937,3
9,166019,3
7,29235,3
7,199733,2
7,113799,1
17,199733,1
7,199666,3
7,166019,3
7,166019,1
7,213499,3
27,213499,3
12,170937,3
6,213499,3
2,68995,2
16,156626,1
24,190810,1
7,129574,1
19,205392,3
2,152242,1
2,211101,3
26,204828,3
7,211101,3
3,158982,3
24,204828,3
7,17581,2
12,171692,2
1,187846,2
3,204828,3
7,45739,2
12,64957,3
5,103375,2
7,62383,2
9,193497,1
7,163472,1
26,190260,3
7,167235,3
9,155758,3
1,157503,2
14,168051,3
15,216743,3
21,157503,3
27,110879,2
2,215903,2
7,168187,3
21,165042,1
7,105433,3
7,156024,3
3,195767,3
17,80904,2
6,190773,1
24,71910,3
27,195767,3
15,190773,1
21,190773,3
22,190773,1
7,107841,2
20,190773,3
20,190773,1
20,190773,2
22,190773,3
21,190773,1
16,17556,1
2,190773,1
22,217431,3
27,120819,3
7,146163,2
7,87985,2
7,155758,1
7,196122,1
7,15027,3
16,216743,3
17,216743,3
26,157503,2
7,168846,2
3,107841,2
15,205364,3
3,190773,2
9,205364,3
24,190773,1
19,205364,3
20,205364,3
4,190773,1
7,220614,3
16,110137,2
7,155437,1
7,155437,3
3,2358,3
16,187051,3
27,10171,2
16,113065,3
16,171692,2
7,34616,2
16,110137,3
16,30193,3
27,10171,1
7,190524,1
12,152242,2
7,190570,3
7,28318,3
7,190570,1
16,166920,3
7,190570,2
16,212005,3
16,21843,2
7,34402,2
7,212005,3
16,21843,1
16,21843,3
16,18194,3
7,17581,1
7,132885,2
4,18001,3
27,166920,3
12,18001,3
20,18001,2
7,130087,1
3,130087,2
24,166920,3
2,130087,1
9,166920,3
7,130240,3
17,171692,2
2,130087,2
2,166920,3
6,187051,3
22,217275,3
27,155437,2
25,187846,2
2,126226,3
17,187051,3
21,64957,3
22,18194,3
23,187846,2
16,133454,3
7,68174,2
2,187846,3
17,204828,3
4,204828,3
3,152242,2
7,133454,3
7,213499,2
9,17159,3
2,116212,2
21,213499,3
19,204828,3
9,116212,2
7,193289,2
16,213499,2
27,152242,2
9,138693,2
6,213499,2
7,68174,1
3,116212,3
9,171196,3
17,158982,3
7,151272,3
27,116212,2
7,17580,3
2,116212,3
9,116212,3
3,116212,2
7,166920,1
3,168943,2
7,120400,3
12,204828,3
7,132885,3
27,18001,1
3,130087,3
7,17159,3
22,213499,3
2,171196,3
17,213499,3
12,130087,3
9,18194,3
7,151272,1
16,9963,3
20,18194,3
15,143786,3
12,34616,2
27,18001,2
16,168943,3
12,155437,2
12,155437,3
1,152093,3
7,189180,3
6,204828,3
9,158982,3
9,182115,3
7,2358,3
7,189180,2
15,171692,2
2,168943,2
15,158982,3
9,117622,3
17,187846,3
28,204828,3
7,132885,1
2,205392,3
15,205392,3
12,182115,3
7,163741,1
3,211101,3
9,205392,3
17,187846,2
2,211101,2
12,116212,2
7,171647,3
15,166920,3
16,143786,3
7,211101,2
19,143786,3
27,143786,3
22,171647,3
7,45739,3
11,195532,3
3,174394,3
12,149712,2
11,195532,2
7,23990,3
7,170985,3
9,174394,3
7,172975,1
15,170985,3
7,170762,1
7,172975,2
7,35567,3
2,172975,2
22,168291,3
4,11563,3
12,170762,2
7,150520,3
2,11563,2
3,11563,2
12,195532,2
16,11563,3
14,195532,3
12,171196,3
7,195532,2
14,195532,2
22,195532,1
22,195532,3
7,131834,1
7,203628,3
21,211129,3
7,207778,3
7,170985,1
16,131766,3
7,122834,3
19,174394,3
4,195532,3
9,148547,2
28,11563,2
15,174394,1
27,170985,3
22,168291,1
11,148547,2
23,148547,2
7,122834,1
9,174394,1
7,17580,2
7,34616,1
21,204828,3
23,204828,3
2,204828,3
16,158982,3
2,2358,3
22,17580,2
22,17580,3
22,204828,3
3,187051,3
22,163975,3
7,190176,3
7,163975,3
7,18001,3
7,18001,1
7,18001,2
20,18001,3
24,152093,3
2,155437,3
7,149150,3
1,166920,3
22,155437,2
27,168965,3
7,149150,1
22,155437,3
4,187846,3
2,155437,2
27,171692,2
19,190176,2
16,204828,3
7,130087,2
4,18001,2
7,154875,3
7,35893,2
6,205392,3
17,116212,3
7,137885,1
12,168965,3
7,182115,3
7,64957,3
15,64957,3
20,143786,3
7,187846,2
14,187846,2
7,126226,2
7,68174,3
20,187846,3
9,143786,3
26,187846,3
20,187846,2
22,166920,3
7,199657,2
25,187846,3
27,18001,3
20,166920,3
7,197025,3
27,18194,3
16,155437,2
7,199657,3
7,208670,1
7,130240,2
18,187846,2
21,152242,2
12,116212,3
7,74213,3
15,18194,3
17,18194,3
7,149150,2
14,204828,3
6,18194,3
7,117622,3
7,155437,2
4,152093,3
12,158982,3
5,152093,3
15,155437,2
27,155437,3
1,187846,3
27,158982,3
22,116212,3
17,152242,2
16,155437,3
7,143786,3
15,2358,3
7,188904,1
19,187846,3
3,130087,1
7,21843,2
2,187051,3
