Videojuego_Id,ModoJuego_Id
121973,1
2563,1
2563,2
266823,1
89616,1
246925,1
263822,1
107423,1
119025,1
202243,1
199243,1
33515,1
33515,3
99620,1
236664,1
30775,1
2545,1
2545,2
230918,2
196161,1
196161,2
196161,3
29049,1
29049,2
230919,2
108528,2
108528,3
17097,1
17097,2
118128,1
12930,1
35429,1
130753,1
59737,1
59737,3
251576,1
251576,2
135556,1
13666,1
190278,1
210243,1
210243,2
126369,1
216788,1
137232,1
245072,1
111545,2
111545,3
55648,1
135082,1
15201,1
15201,2
114228,1
114556,1
143611,1
143611,2
143611,6
69347,1
251585,1
5414,1
5414,2
180082,1
161242,1
93231,1
119066,1
5545,1
182463,1
182463,2
182463,3
132066,1
118536,1
254251,1
249471,1
202439,1
202439,2
202439,3
129381,1
154228,1
154228,2
187455,1
126385,1
10355,1
32011,1
250485,1
3933,1
10142,1
240174,1
191933,1
207751,1
116946,1
254326,1
33152,1
250600,1
119271,1
119271,2
136840,1
252535,1
222984,1
195066,1
186228,1
186228,2
46365,1
46365,2
55508,1
29244,1
235759,1
235759,2
132598,1
132598,2
132598,3
132598,4
251294,1
133854,1
101309,1
193293,1
193293,2
193293,3
12043,1
143990,1
92950,1
217281,1
160922,1
252539,1
203172,1
253184,1
44244,1
137214,1
209616,1
240078,1
137545,1
142590,1
194933,1
194933,2
194933,3
194933,4
182643,1
144545,1
195214,1
252538,1
651,1
145545,1
23933,1
35432,1
29057,1
7571,1
46244,1
75165,2
75165,3
75165,5
146545,1
214798,1
8663,1
140365,2
118080,1
30153,1
144365,1
99118,1
89683,1
230214,1
219095,1
140373,1
172469,1
127205,1
12575,1
196043,1
171912,1
91905,1
157428,1
143800,1
143800,2
143800,3
64975,5
27773,1
225365,1
114227,1
230621,1
24653,2
24653,3
49830,1
107832,1
186590,1
112125,1
265060,1
17806,1
114244,1
114261,1
116199,1
116199,2
265057,1
176828,1
26618,1
249480,1
249480,3
44888,1
91151,1
91151,2
145164,1
145164,2
145164,3
8979,1
8979,2
165173,1
129010,1
141244,1
134833,1
114393,1
109897,1
137235,1
256995,1
265059,1
142244,1
86480,1
86480,2
86480,3
210948,1
89738,1
168244,1
234674,1
234674,2
234674,3
6535,1
178975,1
54783,1
54783,2
114550,2
114550,5
13242,1
229590,1
116276,1
115315,1
26535,5
76706,1
76706,2
76706,3
153244,1
27762,1
148133,1
251536,1
86762,1
175818,1
118845,1
118845,2
118845,3
109689,1
252578,1
12379,1
104231,1
182229,1
171995,1
213124,1
1072,1
137893,1
186853,1
31582,1
32516,1
188108,1
77402,1
77402,2
60535,1
107874,1
107874,2
107874,3
202244,1
13011,1
154556,1
102176,1
230647,1
195315,1
252542,1
121556,1
14379,2
14379,3
135853,1
27379,1
56219,1
56219,2
252546,2
16621,1
86554,1
134330,1
57930,1
57930,2
57930,3
57930,5
148400,1
117824,1
117824,2
117824,3
117824,5
231326,1
10404,1
10404,2
92535,1
63535,1
32536,1
32536,2
30566,1
113351,1
250539,1
11415,1
231109,1
107695,1
112535,1
29780,1
110703,1
123803,1
259290,1
16287,1
162070,1
162070,2
204500,1
134535,1
134535,2
57651,1
139602,1
14631,1
199434,1
5412,1
12412,1
131597,2
131597,3
131597,5
230476,1
237244,1
35326,1
251584,1
103004,1
134153,1
15934,1
62243,1
3752,1
3752,2
12091,1
12091,2
12204,1
175770,1
191663,1
11412,2
11412,4
129028,1
12569,1
230181,1
22412,2
85454,1
85454,2
3741,1
46206,1
8737,1
16338,1
34246,1
34246,2
34246,3
116052,1
116052,2
115911,1
14854,1
99434,1
113407,1
185336,2
185336,3
150084,1
1535,1
178766,1
149688,1
535,5
30966,1
30966,2
30966,3
30966,5
10979,1
114209,1
82338,1
18759,1
34412,1
147788,1
199242,1
6802,1
75318,1
35139,1
243191,1
128281,1
24559,1
24559,2
5435,1
72379,1
29723,1
13109,1
19040,2
131331,2
23045,1
23045,2
29166,1
237687,1
75073,1
75073,2
75073,3
233975,1
75379,5
6815,1
113295,1
81850,1
243192,1
77481,1
127600,1
127600,2
243195,1
216553,1
80982,1
132299,1
119635,1
82412,2
251228,1
9978,1
156727,1
193671,1
193671,2
193671,3
31846,1
170651,1
255275,2
255275,3
6812,1
195152,1
148302,1
109403,1
240981,1
211785,1
174556,1
139412,1
108770,1
108770,2
108770,3
82379,2
82379,3
78639,2
265072,1
120452,1
18535,1
39924,2
39924,3
39924,4
147335,1
155840,3
213599,1
31901,1
69653,1
69653,2
99641,1
135818,1
202774,1
79883,1
227587,1
119379,1
22634,1
178599,1
216347,1
191412,1
222556,1
111109,1
16538,1
16538,2
