id,game,platform,campaigncoop,lancoop,offlinecoop,offlinecoopmax,offlinemax,onlinecoop,onlinecoopmax,onlinemax,splitscreen,splitscreenonline,dropin
2,92273,22,0,0,0,,2,0,,,0,,0
2,7153,12,1,0,1,2,0,0,0,0,0,,1
2,57887,49,0,0,1,0,2,0,0,0,0,,0
2,46076,6,0,0,0,,30,0,,,0,,0
2,31256,82,0,0,0,,,0,,,0,,0
2,41858,49,0,0,1,0,2,1,0,6,0,,0
2,82419,49,0,0,0,0,0,1,0,2,0,,0
2,83341,6,0,0,0,,,1,2,6,0,,0
2,11651,49,0,0,1,0,4,0,0,0,0,,0
2,13554,49,0,0,0,0,0,1,0,2,0,,0
2,9179,49,0,0,0,0,0,1,0,5,0,,0
2,11605,6,1,0,1,2,2,0,,,0,,1
2,1121,49,0,0,0,0,0,1,0,8,0,,0
2,10919,49,0,0,0,0,0,0,0,2,0,,0
2,135171,32,0,0,0,,,0,,,0,,0
2,132152,48,1,0,1,2,2,0,,,1,,0
2,83779,34,0,0,0,,,0,,,0,,0
2,53787,6,1,0,0,,,1,2,2,0,,0
2,133334,6,0,0,0,,,1,4,6,0,,0
2,119238,6,0,0,0,,,0,,,0,,0
2,4271,52,0,0,0,,2,0,,,0,,0
2,4271,19,0,0,0,,2,0,,,0,,0
2,109462,130,0,1,1,4,4,1,8,8,1,,1
2,11489,49,0,0,1,0,2,1,0,2,0,,0
2,82392,49,0,0,1,0,2,0,0,0,0,,0
2,11120,14,0,0,0,,,0,,2,0,,0
2,96240,6,0,0,0,0,8,0,0,0,0,,0
2,96372,6,0,0,0,,,0,,,0,,0
2,295,6,0,0,0,0,8,0,0,8,0,,0
2,131934,14,0,0,0,,4,0,,4,1,,0
2,97251,6,0,0,0,,1,0,,,0,,0
2,784,13,0,0,0,,,0,,,0,,0
2,110474,49,1,0,1,4,4,1,4,4,0,,1
2,97269,6,0,0,0,,,0,,,0,,0
2,102072,39,0,0,0,,,0,,,0,,0
2,12301,6,0,0,1,2,,0,,,1,,0
2,2669,12,1,0,1,4,0,1,4,0,1,,0
2,48141,,0,0,0,,1,0,,,0,,0
2,102796,34,0,0,0,,,0,,,0,,0
2,4877,12,1,0,1,2,0,0,0,0,0,,1
2,4752,5,1,0,1,2,0,0,0,0,1,,1
2,572,6,1,1,0,0,0,1,4,0,0,,1
2,83776,49,0,0,0,0,0,1,0,4,0,,0
2,83774,49,0,0,1,0,0,0,0,0,0,,0
2,56891,49,0,0,0,0,2,0,0,2,0,,0
2,6622,24,0,0,0,,4,0,,,0,,0
2,46077,6,0,0,0,,,0,,,0,,0
2,47827,20,0,0,0,,,0,,,0,,0
2,59736,34,0,0,0,,,0,,,0,,0
2,46659,,0,0,0,6,,0,,,0,,0
2,95083,6,0,0,0,,2,0,,,0,,0
2,11053,9,1,0,1,2,0,0,0,0,1,,0
2,22445,49,0,0,0,0,2,0,0,2,0,,0
2,25989,49,0,0,0,0,0,1,0,6,0,,0
2,2670,8,1,0,1,2,2,0,0,0,1,,0
2,14380,49,0,0,1,0,8,1,0,8,0,,0
2,136659,130,1,0,1,2,2,0,,,1,,0
2,43382,,0,0,0,,2,0,,,1,,0
2,138908,7,0,0,0,,,0,,,0,,0
2,49118,59,0,0,0,,,0,,,0,,0
2,51693,49,0,0,0,,,0,,,0,,0
2,26742,82,0,0,0,,,1,,,0,,1
2,27666,6,1,0,1,2,,0,,,0,,0
2,27666,12,1,0,1,2,,0,,,0,,0
2,27666,48,1,0,1,2,,0,,,0,,0
2,51551,34,0,0,0,,,0,,,0,,0
2,35803,49,0,0,1,0,3,0,0,0,0,,0
2,20059,49,0,0,0,0,2,0,0,0,0,,0
2,18688,49,0,0,1,0,2,0,0,0,0,,0
2,11288,49,0,0,0,0,4,0,0,0,0,,0
2,27060,48,0,0,1,4,4,0,0,2,0,,0
2,27436,130,1,0,1,2,0,0,0,0,1,,0
2,11219,29,1,0,1,2,2,0,,,1,,0
2,6748,6,1,0,0,0,0,1,6,0,0,,1
2,21072,9,1,1,1,2,0,1,2,0,1,,0
2,115563,6,0,0,0,,4,0,,,1,,0
2,85203,4,0,0,0,,,0,,,0,,0
2,4271,7,0,0,0,,2,0,,,0,,0
2,4446,29,0,0,0,,2,0,,,1,,0
2,2255,5,1,0,1,4,4,1,2,2,0,,0
2,11577,6,1,1,0,0,0,1,4,0,0,,0
2,6178,11,0,0,0,,2,0,,2,0,,1
2,2652,8,0,0,1,2,0,0,0,0,1,,0
2,732,8,0,0,1,2,0,0,0,0,0,,0
2,1371,6,0,1,0,0,0,1,4,0,0,,0
2,4576,8,1,0,1,4,0,1,4,0,0,,1
2,49843,24,0,0,0,,2,0,,,0,,0
2,82030,34,0,0,0,,,1,4,4,0,,0
2,401,5,0,0,1,2,0,0,0,0,0,,1
2,47312,6,0,0,0,,,0,,14,1,,0
2,135468,39,0,0,0,,1,0,,,0,,0
2,27410,34,0,0,0,,,1,5,,0,,0
2,51693,48,0,0,0,,,0,,,0,,0
2,105443,6,0,0,0,,,1,,,0,,0
2,126468,,0,0,0,,2,0,,,0,,0
2,2637,5,0,0,1,4,0,0,0,0,0,,0
2,5300,9,0,0,1,3,0,1,2,0,0,,0
2,7170,8,1,0,1,2,0,0,0,0,0,,0
2,5168,5,0,0,0,,4,0,,,1,,0
2,44664,9,0,0,0,,,0,,8,0,,0
2,38531,,0,0,1,,2,0,,,0,,1
2,15350,16,0,0,0,,3,0,,,0,,0
2,15350,63,0,0,0,,3,0,,,0,,0
2,137311,,1,0,1,2,,0,,,1,,1
2,20765,20,0,1,0,0,0,0,0,0,0,,0
2,17463,20,1,1,0,0,0,0,0,0,0,,0
2,984,9,1,1,0,0,0,1,4,0,0,,1
2,12268,15,0,0,0,,8,0,,,0,,0
2,132152,130,0,0,1,2,2,0,,,1,,0
2,6043,11,0,0,1,2,0,0,0,0,1,,0
2,98010,82,0,0,0,,,1,,4,0,,0
2,2596,,0,0,0,,,0,,,0,,0
2,69158,21,0,0,0,,4,0,,,1,,0
2,2617,,0,0,0,,,0,,,0,,0
2,27436,6,1,0,1,2,2,0,,,1,,0
2,16253,6,0,0,0,0,0,1,5,0,0,,1
2,107547,34,0,0,0,,,0,,,0,,0
2,2142,8,1,0,1,2,0,0,0,0,1,,1
2,118756,34,0,0,0,,,0,,,0,,0
2,26166,48,1,0,0,,,1,4,,0,,0
2,26370,49,0,0,0,0,2,0,0,0,0,,0
2,134094,3,0,0,0,,2,0,,,1,,0
2,6250,6,1,0,1,3,0,1,3,0,1,,0
2,6710,52,0,0,0,,2,0,,,0,,1
2,2583,46,0,0,0,0,0,1,4,0,0,,0
2,8246,7,0,0,0,,2,0,,,0,,1
2,51673,39,1,0,0,0,0,1,3,0,0,,1
2,51999,39,0,0,0,,,1,,,0,,0
2,34609,6,0,0,1,6,0,0,0,0,0,,1
2,6414,6,0,0,0,0,0,1,15,0,0,,0
2,5819,11,1,1,1,4,4,1,4,4,1,,1
2,434,12,0,1,0,0,0,1,8,0,0,,1
2,13181,12,1,0,0,0,0,1,4,0,0,,1
2,13181,6,1,1,0,0,0,1,16,0,0,,1
2,16538,6,0,0,1,4,4,0,0,0,0,,0
2,5584,9,1,0,1,2,0,1,6,0,1,,0
2,19256,38,1,1,0,0,0,1,4,0,0,,0
2,7111,9,0,0,1,2,0,0,0,0,0,,0
2,7459,9,0,0,0,0,0,1,5,0,0,,0
2,2050,12,1,0,1,2,0,0,0,0,0,,1
2,118907,9,0,0,0,,,0,,8,0,,0
2,1291,9,0,0,0,0,0,0,,8,0,,0
2,3492,21,0,0,0,,4,0,,,1,,0
2,137309,,1,0,1,2,,0,,,1,,1
2,48336,39,0,0,0,,,0,,12,0,,1
2,14431,13,0,0,0,,,0,,,1,,0
2,33984,49,0,0,0,0,4,0,0,0,0,,0
2,57916,34,0,0,0,,,0,,,0,,0
2,131814,6,0,0,0,,,0,,,0,,0
2,7461,9,0,1,1,2,0,1,4,0,1,,0
2,1970,6,0,0,0,0,0,1,4,0,0,,0
2,14674,38,1,1,0,0,0,0,0,0,0,,0
2,450,12,1,1,0,0,0,1,4,0,0,,1
2,18373,38,1,1,0,0,0,1,4,0,0,,0
2,1302,38,1,1,0,0,0,0,0,0,0,,0
2,1843,6,1,1,0,0,0,1,8,0,0,,0
2,2151,12,0,0,1,2,0,0,0,0,0,,0
2,14921,12,1,0,1,2,0,0,0,0,0,,1
2,51643,6,1,0,1,2,0,1,2,0,0,,1
2,110687,130,0,0,0,,,0,,,0,,0
2,1842,6,1,1,0,0,0,1,8,0,0,,0
2,1601,8,0,0,0,,2,0,,,1,,0
2,2165,48,0,0,0,0,0,1,4,0,0,,0
2,6806,37,1,1,0,0,0,1,4,0,0,,1
2,2678,12,1,0,1,4,0,1,4,0,0,,0
2,48208,18,0,0,0,,2,0,,,0,,0
2,121230,48,0,0,0,,4,0,,8,1,,0
2,45276,,0,0,0,,,0,,,0,,0
2,15071,6,1,1,0,0,0,1,35,0,0,,1
2,45137,,0,0,0,,,0,,,0,,0
2,3172,,0,0,0,,,0,,,0,,0
2,7135,9,1,0,1,3,0,0,0,0,1,,0
2,104819,6,0,0,1,4,4,0,,2,0,,0
2,67177,,0,0,0,,,0,,,0,,0
2,16173,12,0,0,1,2,0,1,3,0,0,,0
2,1374,12,0,1,1,2,0,1,2,0,1,,0
2,116645,49,0,0,1,4,4,0,0,2,0,,0
2,5002,9,1,0,1,2,0,0,0,0,0,,1
2,9963,12,0,0,1,2,0,1,2,0,0,,0
2,4271,32,0,0,0,,2,0,,,0,,0
2,26166,49,0,0,0,,,0,4,,0,,0
2,21077,12,1,0,1,2,0,1,4,0,1,,0
2,20568,6,1,1,0,0,0,0,0,0,0,,0
2,7111,12,0,0,1,2,0,0,0,0,0,,0
2,21082,9,1,0,1,2,0,0,0,0,0,,1
2,10177,6,0,1,0,0,0,1,4,0,0,,0
2,9485,12,1,0,1,2,0,1,2,0,1,,0
2,842,,0,0,0,,,0,,6,0,,0
2,528,12,0,1,0,0,0,1,4,0,0,,0
2,7412,11,1,0,1,2,0,0,0,0,0,,0
2,3002,9,1,0,1,4,0,1,4,0,0,,0
2,3695,6,1,1,0,0,0,1,2,0,0,,0
2,20402,6,0,0,1,4,0,0,0,0,0,,0
2,33632,6,0,1,1,2,2,1,6,6,1,,0
2,51635,12,1,0,1,2,0,1,2,0,0,,1
2,10170,9,0,0,1,4,0,0,0,0,1,,0
2,76735,,0,0,0,,,0,,,0,,0
2,99243,39,0,0,1,2,,0,,,0,,0
2,7045,9,1,0,1,2,0,0,0,0,0,,0
2,9351,8,0,0,1,4,0,0,0,0,1,,0
2,21147,12,1,0,1,4,0,1,4,0,0,,1
2,18230,9,0,0,1,2,0,1,2,0,1,,0
2,15140,12,0,0,1,4,0,1,4,0,0,,0
2,4747,12,1,0,1,4,0,0,0,0,1,,1
2,16689,6,1,0,0,0,0,1,4,0,0,,1
2,5485,12,0,0,0,0,0,1,4,0,0,,0
2,1190,12,1,0,1,2,0,0,0,0,0,,1
2,981,12,1,0,1,4,0,0,0,0,0,,1
2,2139,12,1,0,1,2,0,1,4,0,1,,0
2,47315,11,0,1,1,2,12,1,2,12,1,,0
2,126442,8,0,0,1,2,,0,,,0,,0
2,136227,6,0,0,0,,2,0,,,1,,0
2,65112,4,0,0,0,,4,0,,2,0,,0
2,55057,6,0,1,0,8,8,1,8,8,0,,0
2,138906,169,0,0,0,,,0,,,0,,0
2,134060,39,0,0,0,,1,0,,,0,,0
2,131720,3,0,0,0,2,2,1,8,100,1,,0
2,112573,52,0,0,0,,4,0,,,1,,0
2,35286,6,1,0,1,5,,0,,,1,,0
2,1373,12,0,0,0,0,0,1,2,0,0,,0
2,1854,39,1,0,0,0,0,1,3,0,0,,0
2,7668,12,1,0,0,0,0,1,4,0,0,,0
2,53013,,0,0,0,,2,0,,,1,,0
2,3078,9,1,0,0,0,0,1,2,0,0,,0
2,4896,9,1,0,1,2,0,0,0,0,0,,1
2,5924,6,1,0,0,0,0,1,2,0,0,,1
2,4767,9,1,0,1,2,0,0,0,0,0,,1
2,31719,8,0,0,0,0,2,0,0,0,1,,0
2,142,8,1,1,1,2,0,1,16,0,1,,1
2,19914,12,1,0,1,4,0,1,4,0,0,,1
2,6913,12,0,0,0,0,0,1,4,0,0,,0
2,3215,9,0,0,0,0,0,1,2,0,0,,0
2,4209,11,0,0,0,,4,0,,,1,,0
2,1011,12,1,1,1,2,0,1,4,0,1,,1
2,23396,9,1,0,1,4,0,0,0,0,0,,0
2,3077,11,1,0,1,2,0,0,0,0,1,,0
2,5968,9,1,0,0,0,0,1,2,0,0,,1
2,37278,12,0,0,1,2,0,0,0,0,0,,0
