Videojuego_Id,Motor_Id
202243,765
196161,439
135556,541
111545,13
143611,439
2667,106
165521,31
182463,13
254251,156
10142,411
240174,982
191933,747
222984,439
132598,603
143990,13
252539,13
240078,13
137545,64
182643,3
144545,1042
195214,507
252538,13
145545,439
140365,1043
172469,13
143800,13
252545,305
225365,765
24653,421
142244,13
89738,104
229590,81
27762,347
252578,13
137893,577
202244,765
252542,13
252541,13
57930,64
63535,1300
139602,13
12091,411
176236,837
6471,166
185182,831
185336,439
149688,763
237687,1281
132299,750
9978,411
31846,411
79639,411
148302,13
63786,411
139412,235
19289,13
135818,79
240535,221
22634,198
22634,1439
216347,25
191412,235
16538,221
57439,411
218854,13
63567,411
23245,13
248599,982
36737,471
210412,13
125379,756
140481,603
131379,439
265074,1182
229556,1254
240502,1182
8351,13
142508,837
229412,876
139379,13
139379,750
157572,3
111243,439
177379,13
178379,13
64787,411
47466,1289
147048,13
212556,982
198456,837
233669,982
105410,411
182466,84
231379,410
231379,1224
231379,1281
257556,13
190466,1145
105418,439
153599,1182
143637,79
256466,1543
20860,433
221818,4
234818,64
259305,13
265051,592
212265,156
168676,1105
107169,13
139690,1108
72696,411
256291,439
115386,13
20546,136
111279,439
39546,1222
19347,13
196025,763
196451,116
41827,439
90953,528
15311,264
194380,829
209380,81
67860,563
98575,414
191330,439
248380,13
217781,1067
203749,439
89889,497
51536,13
19281,13
196933,13
93546,221
51311,1114
115546,84
34615,179
155546,340
21536,1442
78380,626
128673,235
13113,70
115336,13
186158,876
255546,394
196632,116
176885,520
7071,26
144795,13
263882,829
261137,13
248795,13
150575,81
153652,13
34667,13
154413,873
106675,13
178413,439
217575,1372
134675,13
191795,1377
197825,439
5971,351
176071,13
176071,876
29966,13
194413,13
222413,3
165720,6
171791,31
165060,747
56060,13
172684,6
75847,172
102981,179
150159,696
133927,411
180852,6
142245,439
234337,13
150046,439
7891,84
28382,13
138287,64
28159,370
115382,509
23166,64
53969,286
221927,3
224334,603
227927,64
132382,532
146382,351
27005,13
174159,13
213382,696
62078,13
142078,64
154078,439
145716,558
28768,462
221933,4
224078,603
107311,439
242078,4
142640,13
64768,148
127880,603
64792,213
64792,590
114676,601
155054,13
134166,939
229939,20
144768,744
201768,765
166716,31
214768,13
31088,305
122242,13
202716,456
245335,13
139150,13
139150,1103
134242,439
180242,1363
186297,13
176687,13
143367,13
262242,982
153641,1230
156612,13
57221,13
131342,439
129334,13
27097,13
219792,235
32046,63
107681,439
219788,439
242261,13
131928,4
61547,411
131407,750
201079,13
186160,13
5322,25
130384,104
25079,370
142636,13
121232,13
106332,750
16843,312
154807,439
110144,439
54723,404
95667,13
86139,13
137918,13
191414,235
145622,837
165586,394
144547,69
164988,982
186276,13
112144,84
4083,135
98972,772
110844,46
102832,13
140133,13
52231,220
144414,1043
32640,13
191738,13
204485,156
114537,601
34644,509
142537,837
229446,1146
256446,3
177537,13
222870,747
132050,439
26921,411
7313,433
230535,439
195129,13
119157,84
52555,6
56639,13
111302,6
115446,439
5586,99
146231,439
191509,439
194954,13
9586,1173
26755,404
152070,13
240161,13
27470,206
186214,837
178573,876
124446,1036
124446,1037
124446,1213
124446,1214
241771,13
131929,79
153446,69
153446,317
120161,414
75988,509
257137,13
202247,334
220559,235
61586,64
52011,13
175932,838
6447,1265
172447,305
135636,13
145763,161
130287,13
117447,529
124447,13
18164,13
208410,750
10538,62
117030,603
241740,13
257193,13
229921,876
24972,13
186258,13
138726,439
134134,603
115126,13
186755,750
257070,448
177134,13
200447,13
65260,64
102095,13
102095,468
102095,984
102095,986
144538,1145
142811,1145
18368,13
12482,13
22368,13
264895,906
2466,835
57993,64
242246,13
253134,876
139745,74
115202,277
193309,982
116473,13
210874,1251
178202,81
129135,394
36548,13
171548,31
223478,13
27022,404
119383,1254
253135,13
113875,79
229490,1254
14572,6
11135,13
186022,507
16135,305
130022,13
27135,434
135022,13
29135,13
141022,507
131793,13
153895,439
8768,177
176793,79
101874,414
150166,696
41071,402
202483,1251
448,57
13136,278
22001,79
22818,13
186136,13
187136,833
252448,1251
152383,13
199369,507
203383,13
28448,79
191817,13
135383,439
234383,134
32956,824
151831,603
7549,6
80910,12
184363,31
184363,984
122794,456
105333,13
225356,272
198134,235
168549,118
147810,13
93448,772
188549,831
198022,13
171536,31
228910,13
183657,750
144041,439
255556,448
127034,12
132652,340
62354,704
75549,404
139448,750
255554,81
118711,490
139549,291
255558,448
9182,6
144130,64
255560,448
130894,334
107155,575
1969,26
98307,13
257072,13
212589,13
204550,394
9396,13
2291,13
255677,13
122960,439
22392,13
135682,13
197974,696
135359,394
127960,13
92550,1043
4769,326
124550,334
128550,439
135550,1036
135550,1037
135550,1213
135550,1214
124786,28
139550,291
239960,235
239960,837
144550,763
147285,13
22168,79
207494,13
176550,982
98843,509
257069,448
26835,13
201960,750
202960,13
120283,79
20149,601
72769,972
178168,1145
229450,31
179769,837
79135,13
2607,497
243450,13
170390,22
213911,179
213960,394
15536,13
127807,462
9005,69
127342,982
15384,13
113967,235
252105,1145
134135,414
217769,13
220769,448
232769,1182
144135,413
101514,221
146384,351
141634,70
258197,876
107247,13
136848,322
11712,13
217770,558
52944,13
255770,394
187450,439
77878,159
124028,746
53245,17
53245,90
53245,91
146770,456
168701,13
238081,439
186247,13
90060,13
191539,1377
138770,84
134277,905
91415,558
144415,1043
143974,744
216770,448
205938,603
229245,1051
237539,305
217574,97
827,157
229823,603
145338,532
242539,277
181547,13
142250,13
125863,277
94997,97
32548,13
182227,1145
202067,1251
257229,13
209137,456
125539,13
134083,750
143539,876
198137,316
139911,439
192403,13
223137,1454
19676,3
228304,305
146539,13
115719,13
129234,982
137047,704
16365,343
241126,13
152508,507
143716,13
224547,1251
26033,6
157259,13
226468,603
134671,13
