Videojuego_Id,Perspectiva_Id
121973,3
2563,4
202243,3
33515,4
236664,2
2545,4
156920,2
196161,1
17097,1
17097,7
12930,1
35429,1
130753,4
59737,4
251576,7
135556,2
13666,3
210243,2
245072,4
111545,3
78096,5
135082,3
15201,6
143611,2
69347,1
69347,5
251585,3
5414,3
2667,2
180082,5
119066,2
5545,3
5545,4
182463,2
182463,3
132066,4
254251,1
202439,1
202439,2
250485,5
3933,2
10142,4
10142,5
240174,1
207751,1
254326,2
119271,2
136840,5
252535,1
222984,1
222984,2
222984,4
195066,3
186228,2
46365,2
116556,1
116556,7
132598,3
132598,4
251294,2
133854,4
101309,2
193293,1
193293,7
12043,1
92950,3
252539,1
203172,3
253184,7
137214,1
240078,1
194933,2
137545,4
182643,1
144545,1
195214,3
252538,1
651,5
145545,1
23933,4
7571,1
46244,2
46244,3
146545,1
214798,5
8663,4
140365,2
118080,4
144365,2
99118,2
99118,3
89683,2
219095,2
140373,4
172469,7
12575,2
254365,5
171912,3
91905,4
157428,3
143800,3
252545,3
225365,3
230621,3
24653,2
49830,3
186590,4
265057,5
176828,5
26618,4
44888,3
145164,7
8979,3
165173,4
141244,3
134833,4
265059,3
142244,4
86480,1
86480,7
210948,2
89738,3
168244,3
168244,4
6535,2
178975,3
54783,4
13242,3
229590,3
115315,2
115315,4
26535,3
38535,3
153244,1
153244,2
27762,4
252578,3
12379,1
12379,5
104231,2
182229,3
213124,4
1072,4
137893,4
188108,5
145335,4
60535,2
102865,4
102865,5
202244,3
13011,2
13011,4
230647,3
195315,2
252542,1
14379,2
135853,5
27379,4
56219,4
252546,2
134330,2
134330,5
57930,3
148400,2
148400,3
92535,3
63535,4
32536,4
113351,2
11415,2
112535,1
259290,4
25153,3
125358,3
27331,3
204500,4
134535,3
57651,2
139602,1
14631,4
5412,4
12412,1
131597,1
230476,3
237244,3
251584,4
134153,4
15934,3
15934,4
62243,1
12091,2
12091,3
12204,3
175770,4
175770,5
191663,3
191663,4
11412,5
12569,4
22412,4
85454,3
3741,2
46206,3
8737,4
6471,2
6471,4
185336,1
150084,3
1535,4
149688,1
535,2
114209,2
18759,5
6802,2
193330,3
72379,1
72379,2
13109,2
19040,7
23045,3
23045,4
237687,2
233975,4
75379,2
6815,1
113295,2
243192,2
243192,3
132299,3
251228,1
9978,4
6812,2
148302,2
240981,2
139412,5
265072,4
19289,4
18535,2
147335,3
213599,4
123902,2
