Videojuego_Id,Tema_Id
121973,28
2563,1
266823,19
246925,1
71632,17
71632,22
71632,27
160939,1
199243,1
33515,1
33515,21
33515,27
236664,1
30775,1
211577,1
2545,18
156920,17
156920,27
230918,1
29049,1
230919,1
88545,1
17097,1
17097,18
12930,18
35429,1
266757,1
232243,35
130753,1
59737,1
59737,18
251576,18
135556,35
171309,1
13666,22
13666,39
266753,1
210243,1
93545,1
160532,1
96545,22
266750,1
195243,42
126369,1
207310,1
211415,1
245072,1
111545,1
172127,1
55648,1
183321,19
135082,34
135082,35
15201,40
114556,1
143611,1
143611,17
143611,18
266755,1
266754,1
69347,17
69347,31
266752,1
5414,1
5414,20
5414,21
2667,1
83096,34
119066,1
119066,18
119066,21
119066,23
182463,1
182463,17
164892,1
132066,17
132066,27
254251,19
254251,21
202439,28
202439,33
202439,38
129381,1
69636,1
69636,18
10355,28
250485,42
250485,44
3933,1
3933,27
10142,18
10142,19
10142,43
240174,19
191933,1
244563,1
207751,42
116946,18
254326,1
254326,21
254326,35
119271,1
119271,27
136840,31
136840,44
252535,27
155774,1
200409,1
195066,1
195066,39
186228,1
46365,1
254545,42
184684,1
184684,27
116556,19
148842,1
132598,1
132598,39
132598,40
163610,1
251294,17
101309,1
101309,18
101309,35
193293,1
193293,21
12043,20
12043,43
143990,27
143990,44
92950,1
92950,41
210842,1
160922,1
161343,1
252539,19
201939,1
160440,1
203172,19
137214,20
184573,44
240078,19
66590,18
194933,1
194933,27
194933,35
137545,1
182643,19
144545,1
195214,39
252538,19
651,17
98065,42
145545,1
145545,18
160969,1
23933,18
208214,1
29057,1
7571,28
75165,1
146545,1
237254,1
214798,31
214798,44
8663,17
8663,27
140365,38
118080,1
188895,1
30153,1
260313,1
21200,18
144365,34
99118,17
89683,33
160971,1
219095,1
219095,17
200935,1
140373,1
140373,17
184446,1
184446,21
172469,1
172469,27
160420,1
127205,17
197567,1
37575,1
12575,1
161563,1
196043,1
169031,1
254365,31
254365,44
160936,1
171912,1
171912,22
160353,1
157428,1
157428,17
157677,1
143800,1
64975,22
229621,1
229621,35
27773,1
27773,18
158251,1
114227,1
70975,18
230621,1
24653,1
24653,18
49830,17
192360,1
217998,1
217998,20
107832,1
107832,42
186590,21
210976,1
112125,1
17806,1
216598,1
263807,1
114261,1
116199,1
176828,44
26618,1
145164,18
8979,17
146753,1
165173,1
134833,1
137235,19
4535,1
4535,18
142244,35
86480,1
86480,18
210948,1
71643,1
184735,1
168244,1
234674,1
204026,42
182792,1
245717,42
237728,35
6535,1
178975,1
178975,18
54783,1
114550,1
184733,1
116276,44
93952,43
115315,1
115315,21
26535,17
182801,1
230590,18
182812,17
182812,19
182812,43
76706,1
27762,18
27762,27
74048,1
148133,17
148133,22
151396,1
86762,1
175818,1
175818,17
175818,39
109689,42
182876,17
252578,17
12379,27
104231,1
182229,1
171995,42
213124,19
1072,1
137893,1
137893,17
137893,35
186853,42
32516,1
71672,34
182817,1
188108,27
188108,44
145335,1
145335,18
145335,27
77402,27
60535,23
107874,1
102865,17
102865,43
13011,17
189244,1
154556,1
102176,1
184864,39
230647,22
252542,19
121556,1
14379,1
184845,27
130541,17
27379,18
252546,1
252546,40
197497,1
45379,18
134330,34
134330,35
57930,17
148400,1
148400,17
148400,27
148400,39
214554,1
117824,1
10404,1
153411,1
92535,1
63535,17
184809,44
47379,1
47379,27
184822,1
32536,1
30566,1
113351,1
113351,17
250539,1
199283,1
180359,19
11415,17
11415,20
11415,22
11415,43
184915,17
184915,44
107695,1
112535,18
112535,31
112535,44
29780,1
110703,1
201244,1
123803,1
184948,23
259290,1
259290,17
25153,1
125358,17
27331,1
27331,17
180842,1
204500,1
155535,1
134535,18
57651,1
139602,1
139602,21
14631,1
5412,17
193677,35
12412,17
160719,1
131597,1
230476,32
237244,17
182865,22
182865,34
251584,1
103004,1
201551,1
134153,1
15934,1
15934,19
24070,1
260630,1
62243,20
62243,43
12091,1
12091,32
12204,1
12204,18
12204,27
12204,34
175770,1
191663,1
11412,1
200933,1
12569,1
12569,18
22412,1
182853,34
85454,32
3741,1
46206,40
8737,1
8737,17
8737,18
16338,17
34246,1
234535,1
234535,35
196059,42
116052,1
240954,1
185116,1
185116,27
6471,1
14854,43
113407,1
190230,1
173513,1
220643,1
247848,1
185182,44
185336,1
185336,19
182851,34
1535,1
178766,1
149688,1
149688,17
149688,38
535,18
10979,43
114209,1
114209,19
114209,20
114209,21
114209,31
82338,1
18759,18
34412,1
147788,1
199242,1
6802,1
75318,1
35139,43
243191,17
243191,35
128281,1
24559,1
24559,19
161322,1
72379,1
72379,18
72379,33
72379,38
29723,1
13109,17
19040,1
131331,1
176268,1
23045,1
23045,18
237687,1
237687,17
75073,1
75073,18
75379,1
75379,17
158651,1
6815,19
6815,22
6815,43
113295,1
113295,19
113295,20
113295,21
113295,31
97730,42
215814,1
81850,1
243192,17
243192,35
243195,1
243195,17
132299,1
132299,17
132299,21
132299,33
132299,38
119635,42
251228,31
251228,38
251228,43
9978,17
193671,1
199039,35
176651,33
240618,1
31846,1
170651,1
255275,1
100547,1
6812,22
6812,38
6812,43
12955,34
195152,1
177651,17
148302,1
148302,27
167455,19
63786,27
182870,17
240981,43
211785,1
207189,1
139412,19
82379,35
180556,19
128334,1
195159,1
78639,1
78639,18
265072,1
265072,27
19289,1
19289,17
18535,1
18535,18
39924,1
195535,1
147335,1
147335,19
147335,21
207535,1
200049,35
213599,1
213599,17
123902,1
123902,31
123902,43
31901,1
161079,1
192384,1
177501,27
69653,1
99641,1
135818,1
135818,27
202774,34
79883,1
157317,1
119379,28
164426,1
22634,1
22634,18
22634,38
133412,1
178599,1
178599,17
216347,17
216347,19
47926,38
191412,19
222556,17
222556,31
222556,44
111109,42
16538,1
152781,1
170535,19
56132,27
135412,1
119745,1
218854,38
117654,1
241922,1
172708,1
172708,17
172708,19
172708,43
245535,42
61948,1
4860,1
195202,1
48396,1
48396,17
48396,22
138388,1
138388,21
138388,33
138388,38
138388,43
248535,1
63567,27
