name,id
Commodore CDTV,158
Sega Pico,339
PlayStation 2,8
iOS,39
Commodore Plus/4,94
AY-3-8710,144
Odyssey,88
Commodore PET,90
Sol-20,237
PC (Microsoft Windows),6
Tapwave Zodiac,44
ColecoVision,68
Texas Instruments TI-99,129
Acorn Electron,134
Gamate,378
Hyper Neo Geo 64,135
Thomson MO5,156
Odyssey 2 / Videopac G7000,133
SteamVR,163
PC-50X Family,142
AY-3-8607,148
AY-3-8605,146
AY-3-8606,147
Amstrad CPC,25
Playdate,381
Family Computer Disk System,51
WonderSwan Color,123
Neo Geo CD,136
Sega Game Gear,35
Atari Jaguar,62
3DO Interactive Multiplayer,50
Microvision,89
Turbografx-16/PC Engine CD,150
Dreamcast,23
Atari 8-bit,65
PC-9800 Series,149
PC Engine SuperGrafx,128
Vectrex,70
Donner Model 30,85
PDP-8,97
DEC GT40,98
Microcomputer,112
Ferranti Nimrod Computer,101
Apple IIGS,115
DOS,13
SwanCrystal,124
Fairchild Channel F,127
Virtual Boy,87
TRS-80,126
Nintendo Switch,130
Amazon Fire TV,132
VC 4000,138
1292 Advanced Programmable Video System,139
Tatung Einstein,155
Nintendo DSi,159
Neo Geo Pocket,119
Dragon 32/64,153
Amstrad PCW,154
Xbox,11
PDP-11,108
MSX2,53
Atari 7800,60
Sega CD,78
Game Boy Advance,24
Sega 32X,30
AY-3-8500,140
AY-3-8760,143
AY-3-8603,145
Nintendo 64,4
Neo Geo Pocket Color,120
Sharp X1,77
Web browser,82
CDC Cyber 70,109
OnLive Game System,113
Wii U,41
PC-8800 Series,125
Acorn Archimedes,116
Amiga CD32,114
Philips CD-i,117
Sharp X68000,121
Nuon,122
Nintendo Entertainment System,18
AY-3-8610,141
Nintendo 3DS,37
Game Boy Color,22
Sega Master System/Mark III,64
Amiga,16
PlayStation Portable,38
TurboGrafx-16/PC Engine,86
Oculus VR,162
Playdia,308
PlayStation 3,9
Mac,14
Satellaview,306
Sega Saturn,32
Android,34
Commodore C64/128/MAX,15
Atari 5200,66
Intellivision,67
BlackBerry OS,73
Game & Watch,307
Imlac PDS-1,111
FM Towns,118
Nintendo PlayStation,131
NEC PC-6000 Series,157
FM-7,152
Nintendo DS,20
Atari ST/STE,63
PlayStation Vita,46
PlayStation 4,48
Atari Lynx,61
Commodore 16,93
Nintendo GameCube,21
N-Gage,42
Super Nintendo Entertainment System,19
Sharp MZ-2200,374
Super Famicom,58
Epoch Cassette Vision,375
Gear VR,388
PDP-10,96
New Nintendo 3DS,137
Plug & Play,377
WonderSwan,57
Commodore VIC-20,71
Apple II,75
Windows Phone,74
Neo Geo AES,80
SG-1000,84
Windows Mixed Reality,161
Neo Geo MVS,79
Game Boy,33
Epoch Super Cassette Vision,376
Wii,5
Intellivision Amico,382
Google Stadia,170
PlayStation 5,167
Oculus Go,387
Oculus Rift,385
Bally Astrocade,91
Oculus Quest,384
BBC Microcomputer System,69
Legacy Mobile Device,55
Game.com,379
Arcade,52
Linux,3
Ouya,72
PDP-1,95
TRS-80 Color Computer,151
Analogue electronics,100
Pokémon mini,166
EDSAC,102
HP 2100,104
Exidy Sorcerer,236
PDP-7,103
DVD Player,238
HP 3000,105
SDS Sigma 7,106
Daydream,164
Call-A-Computer time-shared mainframe computer system,107
Zeebo,240
PLATO,110
Blu-ray Player,239
ZX Spectrum,26
PC-FX,274
MSX,27
Evercade,309
OOParts,372
Sinclair ZX81,373
DUPLICATE Stadia,203
Casio Loopy,380
Xbox Series X|S,169
Atari 2600,59
Xbox 360,12
Xbox One,49
PlayStation,7
Family Computer,99
AirConsole,389
Windows Mobile,405
Legacy Computer,409
Sinclair QL,406
Handheld Electronic LCD,411
Leapster Explorer/LeadPad Explorer,413
Nintendo 64DD,416
HyperScan,407
Palm OS,417
Mega Duck/Cougar Boy,408
Atari Jaguar CD,410
Watara/QuickShot Supervision,415
LeapTV,414
Leapster,412
Arduboy,438
V.Smile,439
Visual Memory Unit / Visual Memory System,440
PocketStation,441
Sega Mega Drive/Genesis,29
Meta Quest 2,386
PlayStation VR2,390
PlayStation VR,165
Virtual Console,47
Meta Quest 3,471
